Data Structure,Dictionary Building Time,Spell Checking Time
Linear List,0.003979921340942383,0.27722716331481934
BBST,0.09701061248779297,0.0
Trie,0.6486074924468994,21.70528745651245
Hash Map,0.030966758728027344,0.0
